商品名稱,屬性,顏色,標籤,SKU編號,URL
Salient Label｜Hekate EcoVero™ Cupro Tie-back Top in Hydro＃Hekate EcoVero™ 環保面料雙細肩背綁帶背心,背心,藍,"木耳邊,Ｖ領,綁帶,環保,雙細肩帶",NC23124452,https://clastylist.com/product_detail2203.htm
Candith｜Natural Linen With White Buttons Mandarin Collar Black Shirt＃天然亞麻白色斜釦中式領黑色襯衫,襯衫,黑色,"斜釦,亞麻,透氣,中式領",NC22270412,https://clastylist.com/product_detail2184.htm
INSIS｜Cotton Two-Ways Collar Design Twisted Shoulder Knitted Vest＃圈圈棉兩穿領設計扭結肩針織背心,針織,,"兩穿,空氣棉,一字領,露肩,扭結",NC23052552,https://clastylist.com/product_detail2186.htm
Lexx Moda｜Zebra Lining Sandals＃斑馬紋襯裡涼鞋,"男鞋,涼鞋",黃,"緩衝,皮革,斑馬紋",NC23140222,https://clastylist.com/product_detail2190.htm
Butter Cross-body Bag｜Olive Green＃奶油方包｜橄欖綠,配件包,綠,"可調式背帶,上掀,雙拉鍊,拉鍊",NC22340370,https://clastylist.com/product_detail2159.htm
Salient Label｜Pascale Tencel Cowl Back Short Dress＃Pascale天絲風帽後背鏤空短洋裝,洋裝,灰,"垂墜,落肩,鏤空,親膚,寬鬆版型",NC23122742,https://clastylist.com/product_detail2188.htm
Moonlit Peak Necklace月夜峰項鍊,項鍊,灰,"滴膠,造型,石膏,銅線",FC2211012,https://clastylist.com/product_detail2200.htm
Candith｜Natural Hand Woven Cotton Minimal Dark Green Men Top＃天然手工編織棉質簡約深綠色上衣,上衣,綠色,"手工,拼接,純棉,編織,天然",NC22270423,https://clastylist.com/product_detail2196.htm
INSIS｜Retro Straight Denim Long Skirt With Diagonal Pockets＃復古直筒斜口袋牛仔半身長裙,長裙,藍,"插袋,復古,直筒,牛仔,開衩,顯瘦,貼袋",NC23052441,https://clastylist.com/product_detail2182.htm
Salient Label｜Pascale Tencel Cowl Back Short Dress＃Pascale天絲風帽後背鏤空短洋裝,"洋裝,短洋裝",藍,"親膚,落肩,鏤空,垂墜,寬鬆版型",NC23122682,https://clastylist.com/product_detail2187.htm
Candith｜Natural Cotton Black Buttons Minimal White Men Shirt＃天然棉黑色釦簡約白色襯衫,襯衫,白色,"純棉,透氣,撞色",NC22270402,https://clastylist.com/product_detail2183.htm
Lexx Moda｜Zebra Lining Sandals＃斑馬紋襯裡涼鞋,"男鞋,涼鞋",白,"緩衝,皮革,斑馬紋",NC23140292,https://clastylist.com/product_detail2191.htm
INSIS｜Retro Straight Denim Long Skirt With Diagonal Pockets＃復古直筒斜口袋牛仔半身長裙,長裙,黑,"插袋,復古,直筒,牛仔,開衩,顯瘦,貼袋",NC23052451,https://clastylist.com/product_detail2181.htm
Demode｜Layered Knot Ruffle Detail Vest＃疊層多領結立體花邊白背心,背心,白色,"領結,翻領,細肩帶,棉,花邊,荷葉邊",23060119213,https://clastylist.com/product_detail1665.htm
Asymmetric Hem Patch Suspender Denim Dress藍白撞色拼接牛仔吊帶裙,吊帶裙,"白色,藍色","可調式肩帶,拼接,撞色,不規則,雙口袋",22080304600,https://clastylist.com/product_detail1227.htm
Bubble Nebula｜Bubble Hoop Ear Cuff＃氣泡星雲泡泡大耳夾,耳環,,"輕盈,925純銀,星雲,14K,耳夾",NC2235069,https://clastylist.com/product_detail2139.htm
INSIS｜ Back Twist Knot Wandering Cotton Vest Long Dress＃背麻花結流浪感空氣棉肌理背心長裙,"洋裝,長洋裝",白,"麻花,圓領,扭結,空氣棉,顯瘦",NC23052191,https://clastylist.com/product_detail2164.htm
No.42｜Dark Red Checker Patch High Waist Pants＃深紅格紋拼接高腰寬褲,寬褲,紅色,"拼接,肆二,格紋,高腰,No.42",2225011,https://clastylist.com/product_detail1156.htm
F.｜Ruffled Wide Suspender 2 Ways Puffy Dress＃抽皺寬肩正反兩穿背心蓬蓬裙,洋裝,黑,"寬肩,修身,抽皺,縮腰,彈力",24010307404,https://clastylist.com/product_detail2043.htm
Vanilla Shoulder Bag Caramel＃香草單肩包・焦糖,"配件包,單肩包",卡,"子母包,加長型,植鞣革,環保,斜背",NC240010390,https://clastylist.com/product_detail2178.htm
SHI Wandering Period Forest Dyed Waist Hollow TopSHI X CLA 徘徊期草木染腰鏤空上衣,上衣,綠,"鏤空,棉,壓紋,抓褶,親膚,寬領",23083502,https://clastylist.com/product_detail1806.htm
Salient Label｜Valencia Cupro Side Drape Top＃Valencia絲感下襬垂褶背心,背心,綠,"抓褶,下襬不規則",NC23122362,https://clastylist.com/product_detail2168.htm
Cable Flap Bag｜Pine Green＃纜繩口蓋包｜松綠,"卡夾,配件包",綠,"口蓋包,翻蓋,牛皮,可調式背帶,磁吸",NC22340360,https://clastylist.com/product_detail2176.htm
Icy Designer Denim Tulle Splicing Asymmetric Hem Dress Icy x CLA 牛仔透紗拼接斜襬洋裝,洋裝,,"牛仔,率性,拼接,拉鍊,親膚,腰綁帶",22103002,https://clastylist.com/product_detail1510.htm
F.｜Flora Puffy Sleeve Tulle Dress ＃蘿拉蓬袖花朵透膚緹花白洋裝,"洋裝,長洋裝",白色,"透膚,綁帶,抽繩,網紗",23060507022,https://clastylist.com/product_detail1636.htm
TRACEY CHEN｜Natural Burma Inky Jadeite Future Diamond Stud Earrings＃天然墨翡＋孔雀石/青金石/母貝未來鑽石耳釘,耳環,綠,"鑽石,寶石,抗敏,天然",NC240022260,https://clastylist.com/product_detail2037.htm
Candith｜Blue Leaf Natural Cotton Blouse＃杏葉交叉領口純棉背心,背心,藍,"縮腰,短版,純棉",2227038,https://clastylist.com/product_detail1698.htm
Wayúu Culture in Threads (Large One & Only) Handmade in Columbia＃Wayuú哥倫比亞傳統霓虹圖騰手工編織水桶包｜公益系列,"配件包,水桶包",,"編織,手工,圖騰,大容量",NC23110520,https://clastylist.com/product_detail2166.htm
Cable Flap Bag｜Burgundy Red＃纜繩口蓋包｜勃根地酒紅,"卡夾,配件包",,"可調式背帶,牛皮,磁吸,口蓋包,翻蓋",NC22340350,https://clastylist.com/product_detail2175.htm
No.42｜Navy Blue Asymmetric Checker Crossover Skirt＃深藍格紋不對稱拼接短裙,短裙,藍色,"拼接,不對稱,格紋,No.42,肆二",2225008,https://clastylist.com/product_detail1155.htm
Spring Leaf Earrings＃春之葉,耳環,,"抗過敏,耳針式,耳夾式,樹脂,花朵",2212013,https://clastylist.com/product_detail848.htm
Salient Label｜Valencia Cupro Side Drape Top＃Valencia絲感下襬垂褶背心,背心,橘,"抓褶,下襬不規則",NC23122412,https://clastylist.com/product_detail2169.htm
Cable Flap Bag｜Walnut Brown＃纜繩口蓋包｜胡桃棕,"卡夾,配件包",,"可調式背帶,牛皮,磁吸,口蓋包,翻蓋",NC22340340,https://clastylist.com/product_detail2174.htm
Demode｜Checkered Waist Ruffled Dress＃粉彩格紋無袖花邊抽皺洋裝,"長洋裝,洋裝",,"工字,無袖,格紋,抽皺,花邊",23060507302,https://clastylist.com/product_detail1648.htm
SEW・縫｜ Blue And Black Irregular Hem Evening Dress藍黑不規則下襬拼接晚禮服,洋裝,,"晚禮服,拼接,不規則,拉鍊,一字領",PC23130251,https://clastylist.com/product_detail2170.htm
Vanilla Shoulder Bag Black＃香草單肩包・質感黑,"配件包,單肩包",黑,"子母包,加長型,植鞣革,斜背,環保",NC240010380,https://clastylist.com/product_detail2177.htm
INSIS｜ Back Twist Knot Wandering Cotton Vest Long Dress＃背麻花結流浪感空氣棉肌理背心長裙,"洋裝,長洋裝",灰,"麻花,圓領,扭結,空氣棉,顯瘦",NC23052201,https://clastylist.com/product_detail2165.htm
Wayúu Culture in Threads (Large One & Only) Handmade in Columbia＃Wayuú哥倫比亞傳統藍卡圖騰手工編織水桶包｜公益系列,"配件包,水桶包",,"編織,手工,圖騰,大容量",NC23110510,https://clastylist.com/product_detail2167.htm
SEW・縫｜ Color Dyed Ruffle Neck Layered Yellow Top彩染層次感花邊造型領黃色上衣,上衣,黃色,"花邊,撞色,造型,率性",PC23130021,https://clastylist.com/product_detail2171.htm
INSIS｜Nordic Natural Cotton Short Denim Vest＃北歐自然長絨棉短款牛仔背心,牛仔背心,藍,"短款,手工,長絨棉,圓領",NC23052372,https://clastylist.com/product_detail2155.htm
INSIS｜ Back Twist Knot Wandering Cotton Vest Long Dress＃背麻花結流浪感空氣棉肌理背心長裙,"長洋裝,洋裝",黑,"顯瘦,圓領,扭結,空氣棉,麻花",NC23052181,https://clastylist.com/product_detail2163.htm
Moonlit Peak Necklace月夜峰項鍊,項鍊,黃,"銅線,滴膠,造型,石膏",FC2211011,https://clastylist.com/product_detail2199.htm
TRACEY CHEN｜Natural Jadeite Droplet Ring＃天然翡翠小水滴戒指,戒指,,"翡翠,925銀,抗敏,寶石,天然",NC240021700,https://clastylist.com/product_detail2173.htm
Vanilla Shoulder Bag Olives Green＃香草單肩包・橄欖綠,"配件包,單肩包",綠,"子母包,加長型,植鞣革,斜背,環保",NC240010370,https://clastylist.com/product_detail2179.htm
F.｜Layered Suspender Tie Cake Dress＃千層蛋糕肩綁帶白洋裝,洋裝,白色,"可調式,不規則,綁帶,紀卜心",23030504923,https://clastylist.com/product_detail1511.htm
Luna｜Moon Light Thread Silver Ring（Rose+White Gold Plated）＃月圓圓缺雙色細戒-18K玫瑰金＋白金色,戒指,紅,"雙色,純銀,925純銀",NC2235072,https://clastylist.com/product_detail2162.htm
Garrett Handbag｜Charcoal Black＃加勒特包｜炭黑,配件包,黑,"拉鍊式,紐結,皮革",NC22340380,https://clastylist.com/product_detail2160.htm
Salient Label｜Raelyn Viscose Cupro Front Draped Panel Top＃Raelyn垂褶層次不規則下襬背心,背心,灰,"垂墜,下襬不規則,單釦",NC23122242,https://clastylist.com/product_detail2158.htm
Ting Asymmetric Hem Checker Patch BlouseTing x CLA 下擺不規則格紋拼接襯衫,襯衫,,"不規則,拼接,口袋,假兩件,格紋",19120102,https://clastylist.com/product_detail375.htm
Luna｜Moon Light Thread Silver Ring（Yellow+White Gold Plated）＃月圓圓缺雙色細戒-18K黃金＋白金色,戒指,黃,"純銀,18K,925純銀,雙色",NC2235071,https://clastylist.com/product_detail2161.htm
INSIS｜Nordic Natural Cotton Split Curved Wide-Leg Jeans＃北歐自然長絨棉分割弧形闊腿牛仔褲,牛仔褲,卡,"插袋,環保,長絨棉,闊腿,繡花",NC23052431,https://clastylist.com/product_detail2152.htm
Salient Label｜Sawyer Contrast Colour Striped Dress＃Sawyer撞色條紋拼接連身裙,洋裝,藍,"側開衩,撞色,拼接,色塊,條紋",NC23122052,https://clastylist.com/product_detail2156.htm
TRACEY CHEN｜Japanese Akoya Saltwater Pearl ＴNecklace＃日本Akoya海水珍珠Ｔ造型鍊,項鍊,黃,"造型,抗敏,珍珠,寶石",NC240020380,https://clastylist.com/product_detail2189.htm
INSIS｜ Nordic Literary U-Neck A-Hem Draped Long Vest Dress＃北歐文藝U領A擺垂感長背心洋裝,"洋裝,長洋裝",白,"造型,無袖,修身",NC23052092,https://clastylist.com/product_detail2135.htm
INSIS｜Nordic Natural Cotton Short Denim Vest＃北歐自然長絨棉短款牛仔背心,牛仔背心,卡,"長絨棉,手工,圓領,短款",NC23052362,https://clastylist.com/product_detail2154.htm
Lexx Moda｜ Ruffle Woven Flats Blue＃編織荷葉造型藍平底娃娃鞋,"軟鞋,娃娃鞋",藍,"緩衝,牛皮,造型,平底,編織",NC23141172,https://clastylist.com/product_detail1932.htm
Salient Label｜Raelyn Viscose Cupro Front Draped Panel Top＃Raelyn垂褶層次不規則下襬背心,背心,黑,"垂墜,下襬不規則,單釦",NC23122202,https://clastylist.com/product_detail2157.htm
Toxic Ruffle Shoulder Detail Denim Blouse Toxic x CLA 花邊雙肩鏤空縮腰單寧襯衫,襯衫,,"鏤空,縮腰,雙肩,花邊,單寧",20100902,https://clastylist.com/product_detail17.htm
INSIS｜ Nordic Literary U-Neck A-Hem Draped Long Vest Dress＃北歐文藝U領A擺垂感長背心洋裝,"長裙,洋裝,長洋裝",卡,"修身,無袖,造型",NC23052102,https://clastylist.com/product_detail2136.htm
INSIS｜Wool Half-Cardigan Knitted Vest＃16針羊毛半開襟針織背心,背心,卡,"彈力,圓領,羊毛,保暖,半開襟",NC23052152,https://clastylist.com/product_detail2137.htm
Bubble Nebula｜Bubble Hoop Ear Cuff＃氣泡星雲泡泡大耳夾,耳環,白,"耳夾,星雲,925純銀,14K",NC2235070,https://clastylist.com/product_detail2140.htm
Wayúu Culture in Threads (Large One & Only) Handmade in Columbia＃Wayuú哥倫比亞傳統圖騰手工編織藍系水桶包｜公益系列,"配件包,水桶包",,"編織,手工,圖騰,大容量",NC23110580,https://clastylist.com/product_detail2148.htm
Salient Label｜Aoi Asymmetric Neckline Top＃Aoi不對稱領口寬細肩上衣,上衣,黑,"抓摺,斜領,不規則,雙肩帶",NC23121962,https://clastylist.com/product_detail2145.htm
INSIS｜Wool Half-Cardigan Knitted Vest＃16針羊毛半開襟針織背心,背心,,"彈力,羊毛,圓領,保暖,半開襟",NC23052132,https://clastylist.com/product_detail2143.htm
INSIS｜Nordic Natural Cotton Split Curved Wide-Leg Jeans＃北歐自然長絨棉分割弧形闊腿牛仔褲,牛仔褲,藍,"繡花,長絨棉,闊腿,環保",NC23052372,https://clastylist.com/product_detail2153.htm
Bubble Nebula｜Bubble Hoop Ear Cuff＃氣泡星雲泡泡大耳夾,耳環,黑,"耳夾,星雲,925純銀,14K",NC2235068,https://clastylist.com/product_detail2138.htm
F.｜Asymmetric Cutting Belt Detail Vest＃單肩不規則剪裁腰封馬甲背心,背心,,"腰帶,不規則,單肩",23030116902,https://clastylist.com/product_detail1500.htm
INSIS｜Wool Half-Cardigan Knitted Vest＃16針羊毛半開襟針織背心,背心,黑,"彈力,圓領,羊毛,保暖,半開襟",NC23052142,https://clastylist.com/product_detail2142.htm
Wayúu Culture in Threads (Large One & Only) Handmade in Columbia＃Wayuú哥倫比亞傳統圖騰手工編織粉格水桶包｜公益系列,"配件包,水桶包",,"編織,手工,圖騰,大容量",NC23110570,https://clastylist.com/product_detail2149.htm
INSIS｜Wool Half-Cardigan Knitted Vest＃16針羊毛半開襟針織背心,背心,白,"彈力,圓領,羊毛,保暖,半開襟",NC23052122,https://clastylist.com/product_detail2147.htm
Salient Label｜Elysian Contrast Panel Stripe Dress With Hi-lo hemline＃Elysian高低擺撞色拼接條紋洋裝,"洋裝,短袖",藍,"色塊,撞色,拼接,落肩",NC23121882,https://clastylist.com/product_detail2144.htm
TRACEY CHEN｜ Black & White Square Enamel Bracelet＃方形黑白墨翡琺瑯手鍊,手鍊,黑,"抗敏,方形,寶石,925銀,琺瑯",NC240021950,https://clastylist.com/product_detail2151.htm
TRACEY CHEN｜ Black & White Circle Enamel Bracelet＃圓形黑白墨翡琺瑯手鍊,手鍊,黑,"寶石,抗敏,925銀,琺瑯",NC240021970,https://clastylist.com/product_detail2150.htm
Salient Label｜Eval Tie-sash Cupro Cami Top＃Eval不規則燕尾下襬細線吊帶背心,背心,黑,"細肩帶,綁帶,親膚",NC23121832,https://clastylist.com/product_detail2125.htm
Salient Label｜Aoi Asymmetric Neckline Top＃Aoi不對稱領口寬細肩上衣,上衣,灰,"抓摺,斜領,不規則,雙肩帶",NC23122012,https://clastylist.com/product_detail2146.htm
Lexx Moda｜Split Toe Flats＃麂皮分趾細帶平底鞋,平底鞋,橘,"分趾,麂皮,方頭,牛皮,綁帶",NC23140962,https://clastylist.com/product_detail2133.htm
INSIS｜Wool Half-Cardigan Knitted Vest＃16針羊毛半開襟針織背心,背心,,"彈力,羊毛,圓領,保暖,半開襟",NC23052112,https://clastylist.com/product_detail2141.htm
INSIS｜Nordic Minimalist Suede Silhouette Pocket Skirt＃北歐極簡麂皮感挺廓口袋中裙,中裙,卡,"口袋,春季,麂皮,寬腰頭,廓形",NC23052031,https://clastylist.com/product_detail2122.htm
Kate Waist Tie Ruffle Hem Denim DressKate x CLA 花邊腰綁帶牛仔洋裝,洋裝,,"綁帶,花邊,傘襬,拼接",19120303,https://clastylist.com/product_detail373.htm
Wayúu Culture in Threads (Large One & Only) Handmade in Columbia＃Wayuú哥倫比亞傳統圖騰手工編織太陽花水桶包｜公益系列,"配件包,水桶包",,"編織,手工,圖騰,大容量",NC23110530,https://clastylist.com/product_detail2131.htm
SEW・縫｜ Peach Fuzz Cloud Straight Stripe Calligraphy Print Vest粉嫩雲朵直條紋書法印花背心,背心,,"縮腰,印花,修身,拼接,翻領",PC23130131,https://clastylist.com/product_detail2121.htm
TRACEY CHEN｜Natural Jade Enamel Misaligned Necklace＃天然翡翠琺瑯錯位項鍊,項鍊,,"翡翠,925銀,抗敏,寶石,天然",NC240021190,https://clastylist.com/product_detail2129.htm
F.｜Splash-Ink High-Neck Knitted Cropped Top＃潑墨高領針織短版上衣,"針織,長袖,上衣,高領",灰,短版,24010120200,https://clastylist.com/product_detail2024.htm
TRACEY CHEN｜Natural Black Jade Trapezoid Ring＃天然墨翡梯形戒指,戒指,,"抗敏,18K,寶石,925銀,天然,18K金",NC240021990,https://clastylist.com/product_detail2127.htm
Bubble Nebula｜Small Bubble Earrings＃氣泡星雲泡泡小耳環,耳環,白,"垂墜,星雲,925純銀,14K",NC2235065,https://clastylist.com/product_detail2108.htm
Lexx Moda｜Split Toe Flats＃麂皮分趾細帶平底鞋,平底鞋,灰,"牛皮,方頭,麂皮,綁帶",NC23141102,https://clastylist.com/product_detail2134.htm
Salient Label｜Chasin Asymmetric Slip Cami Dress in Pewter＃Chasin錫色不對稱吊帶洋裝,"短洋裝,洋裝",灰,"隱藏式拉鍊,不規則,不對稱,吊帶",NC23121752,https://clastylist.com/product_detail2124.htm
INSIS｜Nordic Minimalist Suede Silhouette Pocket Skirt＃北歐極簡麂皮感挺廓口袋中裙,中裙,,"口袋,麂皮,春季,寬腰頭,廓形",NC23052041,https://clastylist.com/product_detail2123.htm
Wayúu Culture in Threads (Large One & Only) Handmade in Columbia＃Wayuú哥倫比亞傳統圖騰手工編織水桶包｜公益系列,"配件包,水桶包",,"編織,手工,圖騰,大容量",NC23110540,https://clastylist.com/product_detail2130.htm
TRACEY CHEN｜Natural Jade Enamel Small Round Earrings＃天然翡翠琺瑯小圓耳飾,耳環,,"925銀,18K金,抗敏,寶石,翡翠,天然",NC240021000,https://clastylist.com/product_detail2128.htm
No.42｜ Futuristic Drawstring Flared Hem Dress＃未來科技束繩造型傘襬洋裝,"長洋裝,洋裝",,"傘襬,拼接,不對稱,雙口袋,抽皺",2225040-2,https://clastylist.com/product_detail1525.htm
SEW・縫｜ Khaki Lapel Suit Vest卡其翻領西裝背心,西裝,卡其,"率性,修身,縮腰,翻領,亮面",PC23130141,https://clastylist.com/product_detail2120.htm
TRACEY CHEN｜Natural Black Jade C-Shaped Earrings＃天然墨翡C型耳釘,耳環,,"18K,18K金,抗敏,寶石,925銀,天然",NC240022090,https://clastylist.com/product_detail2126.htm
INSIS｜Organic Cotton Vintage Slimming Side Pleated Jeans＃有機棉復古顯瘦側抓褶黑牛仔褲,牛仔褲,黑,"環保,牛皮,復古,天然,長絨棉,壓褶",NC23052082,https://clastylist.com/product_detail2103.htm
SEW・縫｜ Ruffle Irregular Hem Yellow Evening Dress花邊不規則下襬黃色晚禮服,洋裝,,"不規則,抓褶,拼接,拉鍊,鏤空,印花,棉料",PC23130041,https://clastylist.com/product_detail2119.htm
TRACEY CHEN｜Natural Jadeite Hexagonal Braided Bracelace＃天然翡翠六角編織手鍊,手鍊,綠,"翡翠,抗敏,寶石,天然",NC240021830,https://clastylist.com/product_detail2118.htm
Salient Label｜Ingrid Oversized White Blouse＃Ingrid簡約層次寬袖口白襯衫,襯衫,白,"寬袖,寬袖口,落肩,開衩",NC23121702,https://clastylist.com/product_detail2112.htm
Wayúu Culture in Threads (Medium One & Only) Handmade in Columbia＃Wayuú哥倫比亞傳統圖騰手工編織托特包｜公益系列,配件包,紅,"大容量,手工,圖騰",NC23110490,https://clastylist.com/product_detail2113.htm
INSIS｜Architectural Wool Casual Twill Cargo Wide Pants＃建築感羊毛休閒分割斜紋工裝寬褲,"闊腿褲,工裝寬褲",卡,"暗門襟,斜紋,羊毛,牛角釦",NC23052001,https://clastylist.com/product_detail2106.htm
SARALOLO｜Pink Jacquard Off-Shoulder Ruffle Dress【50% SALE】＃高訂｜粉色提花肩透膚荷葉邊連衣裙,"洋裝,短洋裝",紅色,"親膚,荷葉邊,透膚,後排釦,抽褶,緹花布",PC23030081,https://clastylist.com/product_detail1661.htm
TRACEY CHEN｜Japanese Akoya Saltwater Pearl V Ring＃日本Akoya海水珍珠V戒指,戒指,,"寶石,抗敏,925銀,18K金,18K",NC240020551,https://clastylist.com/product_detail2116.htm
Salient Label｜Ingrid Oversized Stripes Blouse＃Ingrid簡約條紋層次寬袖口襯衫,襯衫,藍,"落肩,條紋,寬袖,開衩",NC23121642,https://clastylist.com/product_detail2111.htm
Salient Label｜Denzel Tiered Striped Skirt＃Denzel疊層條紋半身裙,半身裙,藍,"隱藏式拉鍊,條紋,後鬆緊",NC23121612,https://clastylist.com/product_detail2110.htm
Bubble Nebula｜Small Bubble Earrings＃氣泡星雲泡泡小耳環,耳環,黑,"垂墜,星雲,925純銀,14K",NC2235059,https://clastylist.com/product_detail2109.htm
TRACEY CHEN｜Natural Jadeite Hexagonal Braided Necklace＃天然翡翠六角編織項鍊,項鍊,綠,"寶石,抗敏,翡翠,天然",NC240021800,https://clastylist.com/product_detail2117.htm
